Response #	Vendor 	Filename
51	A Square Group LLC (ASG)	A Square Group (ASG) - Replacement Model for VA.gov_RFI Response_ASG.txt
95	Abt Global 	Abt Global - Response to SSN 36C10B26Q0131.txt
79	Accenture Federal Services	Accenture - 36C10B26Q0131 - Replacement Model for VAweb  - Accenture Response.txt
1	Aenigma Solutions LLC	Aenigma - VA_RFI_Response_Aenigma_Solutions.txt
53	"Agile Six Applications, Inc."	Agile Six - Replacement Model for VA.gov - RFI - Agile Six.txt
36	"Amazon Web Services, Worldwide Public Sector"	Amazon (AWS) - Response to VA RFI Notice ID 365357 - Replacement Model for VA.gov.txt
14	Aptive Resources	Aptive - Replacement Model for VA.gov_RFI Response_AptiveResources.txt
103	Aquia Inc.	Aquia - VA.gov Replacement Model RFI Response - Aquia.txt
20	Arayna Technology Solutions LLC 	"Arayna - Exploring Next-Generation Digital Identity, Authentication, and Navigation on VA.gov.txt"
90	Artemis / Aretum	"Artemis - Exploring Next-Generation Digital Identity, Authentication, and Navigation on VA.gov 2026.txt"
66	AVB Digital II (AVB) 	AVB - Reponse_ Replacement Model for VA.gov Sources Sought Notice.txt
19	"BAC (Ben Allegretti Consulting, Inc.)"	"BAC_Ben Allegretti Consulting, Inc - Replacement Model for VA.gov RFI.txt"
48	BCG Federal Corp. 	BCG - RFI_ VA_BCG Fed Response_FINAL.txt
42	Blink UX. Lone Rock Point and Blink UX	Blink and Lone Rock Point - Response to VA Notice ID 365357.txt
85	Blue Tiger 	Blue Tiger - RFI response - Replacement model for VAgov - Blue Tiger.txt
67	Booz | Allen | Hamilton	BAH - 36C10B26Q0131_Booz Allen Hamilton_SSN_Replacement Model for VA.gov.txt
105	Bravent LLC	Bravent_1 -  VA Replacement model for VA.gov .txt
3	BrennSys Technology LLC	BrennSys - Replacement Model for VA_Gov.txt
45	BuzzClan	BuzzClan - Response for VA's RFI.txt
50	carahsoft_adobe_1	Carahsoft_Adobe_1 Response to VA RFI 36C10B26Q0131.txt
74	carahsoft_adobe_2	Carahsoft_Adobe_2 - Response to the Veteran Affairs - Sources Sought - Replacement Model for VA.gov - 36C10B26Q0131.txt
9	Carahsoft_Qualtrics	Carahsoft_Qualtrics - Final VA.Gov RFI_ Qualtrics Response (002).txt
76	CGI Federal Inc. (CGI) 	CGI_Federal - VA.Gov Replacement Model_RFI Response.txt
87	Coforma	Coforma - Response to SSN 36C10B26Q0131 - Replacement Model for VA.gov.txt
107	COGENT	Cogent - Replacement Model for VA.gov.txt
73	Cognitive	Cognitive - VA Replacement Model for VA.gov - Cognitive Response .txt
83	CounterTrade Products Inc. 	CounterTrade - Response_36C10B26Q0131.txt
94	Deloitte	Deloitte - RFI - Replacement Model for VA.gov_Deloitte Digital.txt
21	"Diaconia, LLC"	Diaconia - RFI Response_VA.gov Modernization.txt
38	"ECS Federal, LLC"	ECS - VA_Replacement Model for VA_SS Response_02.04.2026.txt
49	Edera L3C	Edera - RFI_365357_Replacement_Model_for_VA.gov_Edera_L3C_2026-02-04.txt
86	Ennoble First Inc.	Ennoble - Response_VA Replacement Model 2.5.2026.txt
102	ExeQut LLC 	ExeQut LLC - Response to RFI Replacement Model for VA.gov.txt
65	"Flextone/Systone Iterations, LLC"	Flextone - RFI Response Notice ID 365357 - Replacement Model for VA.gov.txt
29	Friends from the City	Friends From The City - VA.gov Replacement Model RFI Response.txt
61	FWI	FWI - Response to Replacement Model for VA.gov 36C10B26Q0131.txt
6	"General Dynamics Information Technology, Inc. (GDIT) "	GDIT - Solicitation No 36C10B26Q0131 VA.Gov Replacement Module RFI - GDIT Response.txt
24	GOV CIO 	GovCIO - VA Replacement Model_RFI_Response (1).txt
23	Guidehouse	GuideHouse - RFI Response - Replacement Model for VA.gov.txt
44	Hewlett Packard Enterprise	HPE - Replacement Model for VA.gov RFI_HPE.txt
13	Ibis Public Sector	Ibis - RFI-36C10B26Q0131-Replacement-VA-gov-Ibis-Public-Sector.txt
57	IBM Consulting - Federal	IBM - VA_GOV RFI Response-vF.txt
